depl,model,mean_pcpu(%),median_pcpu,stdev_pcpu,mean_tcpu(%),median_tcpu,stdev_tcpu
ONNX,mnist,0.5446218995765275,0.5446218995765275,0.39383238304126233,190.30440865093763,190.30440865093763,0.7679252364891396
ONNX,cifar10,0.4075866336633664,0.4075866336633664,0.26175202754071336,183.24042745620707,183.24042745620707,1.5026624960937998
ONNX,emotion,0.2684462915601023,0.2684462915601023,0.18788966504188329,175.8912084398977,175.8912084398977,2.2564573108849126
ONNX,yolov4,0.39384761072261076,0.39384761072261076,0.20111954675269472,179.42268356643353,179.42268356643353,6.5632983881375315
SCLB,mnist,0.3172794117647059,0.3172794117647059,0.21930708845918073,98.22352941176466,98.22352941176466,0.13102272710219454
SCLB,cifar10,0.24865082892573004,0.24865082892573004,0.12356784500620399,89.59255522467656,89.59255522467656,0.02364041605437214
SCLB,emotion,0.36203286019832787,0.36203286019832787,0.2990953067977886,89.90823449348622,89.90823449348622,3.0426489944266857
SCLB,yolov4,0.22875886524822703,0.22875886524822703,0.13495208143070916,90.23204594511249,90.23204594511249,0.45216240748862957
DOCKER,mnist,0.4044294367050273,0.4044294367050273,0.16104817353267867,191.0578740157481,191.0578740157481,1.0717957116410242
DOCKER,cifar10,0.42766858839972044,0.42766858839972044,0.2679383740486656,181.5692348008385,181.5692348008385,2.5570730444607053
DOCKER,emotion,0.32994838197339693,0.32994838197339693,0.26610911542926735,174.95865594599965,174.95865594599965,2.7680205240027944
DOCKER,yolov4,0.39876863226863224,0.39876863226863224,0.2575739244455341,178.9977231777231,178.9977231777231,1.126876870683021
