depl,model,mean_e(j),median_e(j),stdev_e,mean_t(s),median_t(s),stdev_t
ONNX,mnist,6836.037323787175,6826.152169430613,419.90099114377614,41.1,41.0,1.1972189997378648
ONNX,cifar10,4832.558353388734,4829.475174353143,237.9910880655289,33.5,33.5,0.8498365855987975
ONNX,emotion,2585.073157301681,2406.5622688647445,776.9078520550629,24.7,24.0,3.368151487751767
ONNX,yolov4,7343.054742566122,7403.86693285143,814.0062411073567,41.2,41.5,2.485513584307633
SCLB,mnist,11208.015474589618,11039.983567837615,836.4774204770921,55.9,55.5,2.1317702607092643
SCLB,cifar10,10336.616575278056,9661.577470874427,1926.9985007383107,52.8,51.0,5.072803301265813
SCLB,emotion,11423.181299723214,11494.180576022849,417.358000193809,55.7,56.0,0.9486832980505138
SCLB,yolov4,12448.682996027204,12559.923767564203,539.2277080382426,57.8,58.0,1.3165611772087666
DOCKER,mnist,8197.514020038661,8135.180034702708,283.6737658521864,45.2,45.0,0.7888106377466155
DOCKER,cifar10,4820.757703896424,4900.460011005246,269.2082110019812,33.666666666666664,34,0.8660254037844386
DOCKER,emotion,2536.823417715738,2495.848447662058,177.8826398812051,24.7,24.5,0.9486832980505138
DOCKER,yolov4,7558.175626074494,7574.262753632682,170.34744776207967,41.9,42.0,0.5676462121975466
