row_id,run_id,depl,model,energy(joules),time(seconds)
1,1,ONNX,mnist,6399.599427238013,40
2,1,ONNX,cifar10,4706.126660494763,33
3,1,ONNX,emotion,2217.6778410644947,23
4,1,ONNX,yolov4,6670.8976449285,39
5,1,SCLB,mnist,10371.635548997621,54
6,1,SCLB,cifar10,11649.52792116719,57
7,1,SCLB,emotion,11625.790876689185,56
8,1,SCLB,yolov4,12974.36237963421,59
9,1,DOCKER,mnist,7775.7350739630965,44
10,1,DOCKER,cifar10,4641.02915435162,33
11,1,DOCKER,emotion,2420.7456921206244,24
12,1,DOCKER,yolov4,7607.54992397036,42
13,2,ONNX,mnist,6851.01740064701,41
14,2,ONNX,cifar10,4930.229545697366,34
15,2,ONNX,emotion,2192.6268510261066,23
16,2,ONNX,yolov4,6542.168761819257,39
17,2,SCLB,mnist,11694.279995283609,57
18,2,SCLB,cifar10,9302.81298159247,50
19,2,SCLB,emotion,11400.431534299376,56
20,2,SCLB,yolov4,12489.714347045709,58
21,2,DOCKER,mnist,8098.662930221372,45
23,2,DOCKER,emotion,2953.055648243677,27
24,2,DOCKER,yolov4,7535.099627568494,42
25,3,ONNX,mnist,7478.281666751903,43
26,3,ONNX,cifar10,4724.580518971567,33
27,3,ONNX,emotion,2409.369776422456,24
28,3,ONNX,yolov4,9256.774942913162,47
29,3,SCLB,mnist,11251.154982043823,56
30,3,SCLB,cifar10,9671.575096310115,51
31,3,SCLB,emotion,11193.697991527863,55
32,3,SCLB,yolov4,12582.382791576058,58
33,3,DOCKER,mnist,7800.443008678257,44
34,3,DOCKER,cifar10,4982.408639602678,34
35,3,DOCKER,emotion,2587.3244349565466,25
36,3,DOCKER,yolov4,7323.064880385494,41
37,4,ONNX,mnist,7496.533886952702,43
38,4,ONNX,cifar10,5003.249492218873,34
39,4,ONNX,emotion,2631.554618953721,25
40,4,ONNX,yolov4,7599.682989153905,42
41,4,SCLB,mnist,11299.589367993967,56
42,4,SCLB,cifar10,15455.674774760264,66
43,4,SCLB,emotion,10607.600540125393,54
44,4,SCLB,yolov4,11676.294802637789,56
45,4,DOCKER,mnist,8473.43433745255,46
46,4,DOCKER,cifar10,4570.896039692762,33
47,4,DOCKER,emotion,2376.6500935655677,24
48,4,DOCKER,yolov4,7595.656360877817,42
49,5,ONNX,mnist,6450.799240822822,40
50,5,ONNX,cifar10,5250.122135140408,35
51,5,ONNX,emotion,2019.2875890482574,22
52,5,ONNX,yolov4,7559.093002591381,42
53,5,SCLB,mnist,13203.078902704905,61
54,5,SCLB,cifar10,9651.579845438739,51
55,5,SCLB,emotion,11606.336868867487,56
56,5,SCLB,yolov4,12670.10157624592,59
57,5,DOCKER,mnist,8443.442486959266,46
58,5,DOCKER,cifar10,4902.509674622116,34
59,5,DOCKER,emotion,2403.2587794917645,24
60,5,DOCKER,yolov4,7494.721395816617,42
61,6,ONNX,mnist,6385.481331898822,40
62,6,ONNX,cifar10,4672.431391716452,33
63,6,ONNX,emotion,2406.390903442606,24
64,6,ONNX,yolov4,7248.640863111477,41
65,6,SCLB,mnist,10436.044370418784,54
66,6,SCLB,cifar10,9767.937037579699,51
67,6,SCLB,emotion,12082.291897621562,57
68,6,SCLB,yolov4,13153.155465375754,59
69,6,DOCKER,mnist,8096.854575128426,45
70,6,DOCKER,cifar10,4989.31038951962,34
71,6,DOCKER,emotion,2623.869240539179,25
72,6,DOCKER,yolov4,7584.761975599316,42
73,7,ONNX,mnist,6864.302878660175,41
74,7,ONNX,cifar10,4997.552885194544,34
75,7,ONNX,emotion,2406.7336342868834,24
76,7,ONNX,yolov4,6593.469380199573,39
77,7,SCLB,mnist,10656.28774803836,54
78,7,SCLB,cifar10,9290.932655699507,50
79,7,SCLB,emotion,11134.508717481593,55
80,7,SCLB,yolov4,12896.445984198122,59
81,7,DOCKER,mnist,8519.786989668535,46
82,7,DOCKER,cifar10,4900.460011005246,34
83,7,DOCKER,emotion,2405.139062108154,24
84,7,DOCKER,yolov4,7924.98979952227,43
85,8,ONNX,mnist,6801.286938214216,41
86,8,ONNX,cifar10,4911.633804763293,34
87,8,ONNX,emotion,2392.133977747556,24
88,8,ONNX,yolov4,6729.554108716877,39
89,8,SCLB,mnist,10828.812153631405,55
90,8,SCLB,cifar10,9650.575035630258,51
91,8,SCLB,emotion,11827.562366928689,57
92,8,SCLB,yolov4,12537.46474355235,58
93,8,DOCKER,mnist,8065.571806050159,45
94,8,DOCKER,cifar10,4874.516322934424,34
95,8,DOCKER,emotion,2402.147619621304,24
96,8,DOCKER,yolov4,7632.141229284384,42
97,9,ONNX,mnist,6505.6981709973525,40
98,9,ONNX,cifar10,4747.316543942993,33
99,9,ONNX,emotion,4744.963352070568,34
100,9,ONNX,yolov4,7624.023888799817,42
101,9,SCLB,mnist,10767.356823317688,55
102,9,SCLB,cifar10,9682.330233954055,51
103,9,SCLB,emotion,11165.662585944661,55
104,9,SCLB,yolov4,11708.461087115458,56
105,9,DOCKER,mnist,8171.697139184044,45
106,9,DOCKER,cifar10,4311.2492940755865,32
107,9,DOCKER,emotion,2625.0924033070683,25
108,9,DOCKER,yolov4,7563.763531666048,42
109,10,ONNX,mnist,7127.3722956887395,42
110,10,ONNX,cifar10,4382.340555747077,32
111,10,ONNX,emotion,2429.9930289541585,24
112,10,ONNX,yolov4,7606.241843427265,42
113,10,SCLB,mnist,11571.91485346601,57
114,10,SCLB,cifar10,9243.220170648268,50
115,10,SCLB,emotion,11587.929617746322,56
116,10,SCLB,yolov4,11798.446782890673,56
117,10,DOCKER,mnist,8529.511853080914,46
118,10,DOCKER,cifar10,5214.439809263764,35
119,10,DOCKER,emotion,2570.951203203492,25
120,10,DOCKER,yolov4,7320.007536054141,41
