depl,model,mean_rss(kb),median_rss,stdev_rss,mean_vsz(kb),median_vsz,stdev_vsz
ONNX,mnist,406.4661896551724,406.4661896551724,0.17563069465126774,90.70102601330913,90.70102601330913,3.47897734104814
ONNX,cifar10,408.4777300076162,408.4777300076162,1.8259139645973443,91.10602475247525,91.10602475247525,1.8795248296800424
ONNX,emotion,401.63582949701623,401.63582949701623,0.004750214352737704,87.86586871270248,87.86586871270248,3.207417069251619
ONNX,yolov4,484.0843253690754,484.0843253690754,1.6704831800338407,166.31015773115774,166.31015773115774,3.2894662403050035
SCLB,mnist,216.5470294117647,216.5470294117647,0.27835050468824946,123.61798529411764,123.61798529411764,0.2695532644399579
SCLB,cifar10,183.91599635539356,183.91599635539356,0.1959346093832512,91.54684172629895,91.54684172629895,0.08165818331018282
SCLB,emotion,185.14320377211743,185.14320377211743,0.1037902965009033,92.4079443904336,92.4079443904336,0.09930292509815475
SCLB,yolov4,403.48427320382365,403.48427320382365,4.912140638459396,312.0683311748381,312.0683311748381,4.201344604501465
DOCKER,mnist,409.6806170805572,409.6806170805572,0.2727498017764356,91.02146771653543,91.02146771653543,0.6605334992710402
DOCKER,cifar10,411.7673693221524,411.7673693221524,2.0598267603323146,93.25561320754717,93.25561320754717,0.5817887812679589
DOCKER,emotion,405.0713460393091,405.0713460393091,1.2900676797297803,91.16510144927537,91.16510144927537,0.31522615346809807
DOCKER,yolov4,481.8282008190008,481.8282008190008,3.0891812344318654,166.49144930384932,166.49144930384932,0.8857165103765574
